timestamp,ticker,close,volume,event_time,loaded_at
2024-03-10 09:30:00,SOXL,32.45,150000,1710062400,2024-03-10 09:35:12
2024-03-10 13:30:00,SOXL,32.78,180000,1710077400,2024-03-10 13:35:08
2024-03-10 14:30:00,SOXL,33.10,210000,1710081000,2024-03-10 14:35:11
2024-03-10 15:30:00,SOXL,33.55,250000,1710084600,2024-03-10 15:35:09
2024-03-10 16:30:00,SOXL,33.20,180000,1710088200,2024-03-10 16:35:10
2024-03-11 09:30:00,SOXL,33.40,160000,1710160200,2024-03-11 09:35:14
2024-03-11 12:30:00,SOXL,33.85,190000,1710171000,2024-03-11 12:35:11
1710174600,SOXL,34.10,205000,1710174600,2024-03-11 13:35:13
2024-03-11 14:30:00,SOXL,34.20,220000,1710178200,2024-03-11 14:35:12
2024-03-11 15:30:00,SOXL,34.05,235000,1710181800,2024-03-11 15:35:09
